2024-02-15_13:30:06.270559;296.51;91025;7.89;4695
2024-02-15_13:30:16.743322;296.51;91025;7.9;4673
2024-02-15_13:30:27.208287;296.51;91025;7.88;4624
2024-02-15_13:30:37.677132;296.51;91025;7.89;4599
2024-02-15_13:30:48.145919;296.52;91026;7.88;4571
2024-02-15_13:30:58.618653;296.52;91026;7.88;4512
2024-02-15_13:31:09.087556;296.52;91025;7.88;4492
2024-02-15_13:31:19.556540;296.52;91025;7.88;4457
2024-02-15_13:31:30.025457;296.52;91025;7.88;4427
2024-02-15_13:31:40.494447;296.53;91024;7.87;4379
2024-02-15_13:31:50.963339;296.53;91023;7.87;4349
2024-02-15_13:32:01.432035;296.53;91024;7.87;4321
2024-02-15_13:32:11.900868;296.53;91023;7.87;4299
2024-02-15_13:32:22.369819;296.54;91023;7.86;4260
2024-02-15_13:32:32.838580;296.54;91023;7.85;4243
2024-02-15_13:32:43.307514;296.54;91024;7.86;4202
2024-02-15_13:32:53.776227;296.54;91024;7.85;4162
2024-02-15_13:33:04.245161;296.54;91023;7.85;4148
2024-02-15_13:33:14.714015;296.55;91023;7.84;4109
2024-02-15_13:33:25.182872;296.55;91023;7.84;4083
2024-02-15_13:33:35.651844;296.55;91022;7.84;4055
2024-02-15_13:33:46.120438;296.55;91023;7.84;4030
2024-02-15_13:33:56.589446;296.56;91023;7.84;4008
2024-02-15_13:34:07.058369;296.56;91023;7.84;3980
2024-02-15_13:34:17.527212;296.56;91023;7.82;3950
2024-02-15_13:34:27.996099;296.57;91023;7.83;3918
2024-02-15_13:34:38.464946;296.57;91021;7.81;3903
2024-02-15_13:34:48.937420;296.57;91020;7.82;3877
2024-02-15_13:34:59.402660;296.58;91022;7.81;3845
2024-02-15_13:35:09.871520;296.58;91022;7.81;3820
2024-02-15_13:35:20.340347;296.58;91022;7.81;3798
2024-02-15_13:35:30.812853;296.58;91021;7.8;3767
2024-02-15_13:35:41.281863;296.59;91021;7.8;3754
2024-02-15_13:35:51.750645;296.59;91022;7.8;3724
2024-02-15_13:36:02.219518;296.59;91022;7.8;3698
2024-02-15_13:36:12.684614;296.59;91020;7.79;3674
2024-02-15_13:36:23.157168;296.6;91020;7.78;3648
2024-02-15_13:36:33.622216;296.6;91020;7.79;3626
2024-02-15_13:36:44.091108;296.6;91019;7.78;3608
2024-02-15_13:36:54.559858;296.61;91019;7.78;3583
2024-02-15_13:37:05.032497;296.61;91018;7.78;3559
2024-02-15_13:37:15.501407;296.61;91018;7.78;3537
2024-02-15_13:37:25.966538;296.62;91019;7.77;3525
2024-02-15_13:37:36.435412;296.62;91019;7.77;3494
2024-02-15_13:37:46.904074;296.62;91019;7.75;3471
2024-02-15_13:37:57.373043;296.62;91019;7.76;3453
2024-02-15_13:38:07.841788;296.63;91019;7.77;3443
2024-02-15_13:38:18.310561;296.63;91018;7.76;3410
2024-02-15_13:38:28.779483;296.63;91018;7.75;3398
2024-02-15_13:38:39.252195;296.63;91016;7.75;3357
2024-02-15_13:38:49.721164;296.64;91016;7.74;3357
2024-02-15_13:39:00.190016;296.64;91016;7.74;3331
2024-02-15_13:39:10.658929;296.64;91017;7.74;3306
2024-02-15_13:39:21.127847;296.64;91018;7.73;3291
2024-02-15_13:39:31.596692;296.65;91017;7.73;3264
2024-02-15_13:39:42.065655;296.65;91016;7.73;3250
2024-02-15_13:39:52.534476;296.65;91016;7.74;3224
2024-02-15_13:40:03.003313;296.65;91016;7.72;3206
2024-02-15_13:40:13.471935;296.66;91016;7.71;3186
2024-02-15_13:40:23.940862;296.66;91016;7.72;3165
2024-02-15_13:40:34.405809;296.66;91016;7.71;3148
2024-02-15_13:40:44.878411;296.67;91016;7.7;3135
2024-02-15_13:40:55.347258;296.67;91016;7.71;3108
2024-02-15_13:41:05.816231;296.67;91016;7.7;3095
2024-02-15_13:41:16.285042;296.68;91017;7.7;3073
2024-02-15_13:41:26.749932;296.68;91017;7.7;3061
2024-02-15_13:41:37.222731;296.68;91016;7.69;3039
2024-02-15_13:41:47.691532;296.68;91016;7.68;3010
2024-02-15_13:41:58.160493;296.69;91016;7.69;3006
2024-02-15_13:42:08.629341;296.69;91016;7.68;2985
2024-02-15_13:42:19.098316;296.69;91015;7.67;2965
2024-02-15_13:42:29.567520;296.7;91016;7.67;2948
2024-02-15_13:42:40.035970;296.7;91016;7.67;2930
2024-02-15_13:42:50.504862;296.7;91017;7.66;2784
2024-02-15_13:43:00.973771;296.7;91017;7.67;2766
2024-02-15_13:43:11.442542;296.71;91016;7.65;2752
2024-02-15_13:43:21.911381;296.71;91016;7.65;2731
2024-02-15_13:43:32.380283;296.71;91017;7.64;2714
2024-02-15_13:43:42.849187;296.72;91017;7.64;2698
2024-02-15_13:43:53.321736;296.72;91017;7.63;2678
2024-02-15_13:44:03.786743;296.72;91017;7.64;2651
2024-02-15_13:44:14.255762;296.72;91017;7.62;2651
2024-02-15_13:44:24.724786;296.73;91017;7.63;2622
2024-02-15_13:44:35.197156;296.73;91017;7.62;2617
2024-02-15_13:44:45.666008;296.73;91017;7.61;2596
2024-02-15_13:44:56.135117;296.73;91018;7.61;2573
2024-02-15_13:45:06.603973;296.74;91018;7.6;2563
2024-02-15_13:45:17.072524;296.74;91017;7.6;2555
2024-02-15_13:45:27.541434;296.74;91017;7.6;2531
2024-02-15_13:45:38.010385;296.74;91016;7.59;2523
2024-02-15_13:45:48.479358;296.75;91015;7.58;2514
2024-02-15_13:45:58.948133;296.75;91015;7.59;2485
2024-02-15_13:46:09.417201;296.75;91016;7.58;2473
2024-02-15_13:46:19.886001;296.75;91015;7.57;2466
2024-02-15_13:46:30.354767;296.76;91016;7.57;2445
2024-02-15_13:46:40.823792;296.76;91015;7.56;2441
2024-02-15_13:46:51.296236;296.76;91015;7.56;2418
2024-02-15_13:47:01.765180;296.77;91015;7.56;2407
2024-02-15_13:47:12.234116;296.77;91015;7.56;2394
2024-02-15_13:47:22.702965;296.77;91015;7.56;2390
2024-02-15_13:47:33.172106;296.77;91014;7.55;2372
2024-02-15_13:47:43.640805;296.78;91015;7.55;2353
2024-02-15_13:47:54.109658;296.78;91015;7.55;2349
